"","Param","Recov","CI.LB","CI.UB","type","Time"
"1","D",0.869955400554063,0.766693627330177,0.929341267868727,0,"Meta"
"2","Calanchini",0.86573641507034,0.808172513092393,0.906915703111803,1,"Time1"
"3","Calanchini",0.916462365193887,0.879238942713958,0.942562714721699,1,"Time2"
"4","Forscher",0.87978482881746,0.766116871186285,0.940083927190869,1,"Time1"
"5","Forscher",0.913013090702805,0.827887019983425,0.957026149342908,1,"Time2"
"6","Gawronski",0.778719622083261,0.695086957363436,0.841557367396523,1,"Time1"
"7","Gawronski",0.890070895227839,0.844852475334842,0.922662686172852,1,"Time2"
"8","Lai1",0.618270724420105,0.461206159739186,0.737766131255935,1,"Time1"
"9","Lai1",0.631115137160646,0.477629532530627,0.747217832860133,1,"Time2"
"10","Lai2",0.815220337381565,0.782200742616298,0.84367307632446,1,"Time1"
"11","Lai2",0.842213419772103,0.81352188283822,0.866814674940617,1,"Time2"
"12","PI",0.954494849043307,0.949265815611258,0.959196221940928,1,"Time1"
"13","PI",0.963360355421987,0.959128761106963,0.967161176292081,1,"Time2"
"14","ACwg",0.590285589498617,0.406403818180696,0.728213131330504,0,"Meta"
"15","Calanchini",0.764758182988863,0.671523167245072,0.83415501787253,1,"Time1"
"16","Calanchini",0.745931685698221,0.646728712813656,0.820316897926921,1,"Time2"
"17","Forscher",0.628663959840015,0.358573326203972,0.801631271195115,1,"Time1"
"18","Forscher",0.246715337884059,-0.111577432375523,0.548244820012428,1,"Time2"
"19","Gawronski",0.422133942340348,0.259813078154775,0.561255208992114,1,"Time1"
"20","Gawronski",0.656797812579783,0.539027085033432,0.749379820733124,1,"Time2"
"21","Lai1",0.240290472560646,0.021720319705875,0.436938801595412,1,"Time1"
"22","Lai1",0.43653798738569,0.239823729454871,0.598819270019096,1,"Time2"
"23","Lai2",0.327155331181799,0.243278106772008,0.406175959825816,1,"Time1"
"24","Lai2",0.538268318622464,0.470202693514769,0.599968597795971,1,"Time2"
"25","PI",0.803273862426711,0.782600746412246,0.822177217104271,1,"Time1"
"26","PI",0.79980842903306,0.77881581303433,0.819011354798533,1,"Time2"
"27","ACbb",0.587574070380965,0.422729462915731,0.714782648279061,0,"Meta"
"28","Calanchini",0.775575505504469,0.685864633399085,0.842066790845896,1,"Time1"
"29","Calanchini",0.481627978338723,0.319451752141408,0.616393145006525,1,"Time2"
"30","Forscher",0.423126616495856,0.0873152931667847,0.672586091429347,1,"Time1"
"31","Forscher",0.731118770709136,0.513278273251354,0.860451953457382,1,"Time2"
"32","Gawronski",0.125304962466505,-0.0583445340741269,0.300750861705247,1,"Time1"
"33","Gawronski",0.522915708126348,0.376492470502825,0.643850082483084,1,"Time2"
"34","Lai1",0.672434675461973,0.531200071898986,0.777307999350858,1,"Time1"
"35","Lai1",0.38523787358938,0.180826744332301,0.557745377277057,1,"Time2"
"36","Lai2",0.368705707766724,0.287226326027833,0.444887630897057,1,"Time1"
"37","Lai2",0.514849453453316,0.444578071881333,0.57882231490504,1,"Time2"
"38","PI",0.78465794731541,0.762286445381814,0.805156820583929,1,"Time1"
"39","PI",0.826194728375441,0.807673375812231,0.843087272035206,1,"Time2"
"40","OB",0.258683936618,0.112600958188394,0.393820967932989,0,"Meta"
"41","Calanchini",0.432882232441577,0.263041105930038,0.57669959115582,1,"Time1"
"42","Calanchini",0.485851301383915,0.324393874387174,0.619800247673791,1,"Time2"
"43","Forscher",-0.0215803182977893,-0.367508811467846,0.329593821199254,1,"Time1"
"44","Forscher",0.220641621307112,-0.138725380562589,0.528662221715837,1,"Time2"
"45","Gawronski",-0.0846986970064647,-0.26295476056244,0.0991489646417753,1,"Time1"
"46","Gawronski",0.0982206181904912,-0.085629373813379,0.275601950670495,1,"Time2"
"47","Lai1",0.265664577847384,0.048795949887703,0.458611843715448,1,"Time1"
"48","Lai1",0.213273884631018,-0.0067597737046307,0.413609109250976,1,"Time2"
"49","Lai2",0.05079070534515,-0.0405271342488758,0.141267097606527,1,"Time1"
"50","Lai2",0.403403349291612,0.324191086422541,0.476998083018451,1,"Time2"
"51","PI",0.405265179671232,0.357665297670915,0.450764671130378,1,"Time1"
"52","PI",0.41886645072035,0.371868572879284,0.463722487446782,1,"Time2"
"53","G",0.173050925613496,-0.0347979518335142,0.366550340677047,0,"Meta"
"54","Calanchini",-0.164105484132119,-0.344921796397959,0.0284547597616529,1,"Time1"
"55","Calanchini",0.696868811535297,0.583083410859019,0.783840045310655,1,"Time2"
"56","Forscher",0.428796346680172,0.0941847594157948,0.67636160807863,1,"Time1"
"57","Forscher",-0.144082747912295,-0.469203562520415,0.215434837628963,1,"Time2"
"58","Gawronski",0.194737517027163,0.0128781354147961,0.364126227456903,1,"Time1"
"59","Gawronski",0.541968766225984,0.399085790086687,0.659154388663046,1,"Time2"
"60","Lai1",-0.030943573685361,-0.2489677812476,0.190065545056047,1,"Time1"
"61","Lai1",0.0222637957116686,-0.198423736224706,0.240802749353361,1,"Time2"
"62","Lai2",-0.211547416973727,-0.296952905762848,-0.122784240126191,1,"Time1"
"63","Lai2",-0.232098679591593,-0.316533861599651,-0.144014504025476,1,"Time2"
"64","PI",0.374847879991541,0.325981196377048,0.421716807000316,1,"Time1"
"65","PI",0.338951195544215,0.28873019945719,0.387312041052318,1,"Time2"
